col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
1,1,518476,38.20,48,12,1,3,5,1,2,3,,,,,4,2,57.00,7.00,,,1,1,7426,0,0,2
1,1,518476,38.0,60,24,,1,2,1,,,,1,1,,4,4,,,,,1,1,2085,0,0,1
2,1,518476,,60,16,1,1,5,1,2,2,4,,,,1,5,43.00,7.0,1,4.30,3,2,1360,0,0,1
1,1,518476,37.00,40,12,2,1,2,1,,3,3,1,2,,,5,55.00,6.80,,,3,2,428,0,0,2
1,1,5305629,38.50,130,24,3,,4,2,,4,1,1,1,,1,5,47,8.90,2,8.00,1,2,16044,7111,0,1
1,1,518476,37.50,104,72,3,3,1,1,3,,1,3,3,,3,1,47.00,67,1,,2,1,1786,0,0,2
2,1,518476,39.50,88,,4,3,,2,,4,4,1,,,,5,54.00,6.20,,,1,2,7256,0,0,1
2,1,518476,,80,24,4,3,1,1,2,3,3,2,,,3,,48.00,5.70,1,5.20,1,1,935,0,0,1
2,1,518476,,52,30,3,1,,,5,3,2,2,,,3,1,33.00,7.20,3,4.10,2,2,2302,0,0,2
1,1,5305629,39.40,72,,,1,1,1,,,4,2,3,7.00,,1,,6.20,1,,2,1,4537,0,0,2
2,1,518476,38.70,42,,2,,2,1,2,3,,1,1,,,,34,8.00,1,2,3,2,670,0,0,1
1,1,518476,37.8,86,20,3,3,3,1,4,3,,,3,,,5,49.00,5.90,,,1,2,8044,0,0,2
1,1,518476,,136,30,3,1,3,1,,1,3,,,,,,36.00,7.50,,,1,2,10577,0,0,2
1,1,518476,38.40,36,24,1,1,2,2,3,3,2,1,1,,4,,47.00,5.90,,,2,1,3370,0,0,2
2,1,518476,38.7,88,68,2,,3,1,3,4,,3,1,,1,4,55.00,7.50,2,2.10,1,2,8449,0,0,2
1,1,518476,36.50,54,20,3,1,6,1,1,3,4,3,2,2,3,,38.00,7.00,3,3.40,1,1,4636,0,0,2
1,1,518476,38.30,44,12,3,1,2,2,5,3,,,1,5.40,3,5,,6.20,2,2,2,1,7133,0,0,2
2,1,5305629,38.2,54,36,4,1,6,1,5,1,4,,2,2,2,,52,56,,2,2,1,2511,0,0,2
2,9,518476,38.5,50,32,1,1,6,2,1,1,2,1,,,2,2,37,62,,,1,2,1033,0,0,2
1,1,518476,38.5,48,18,3,3,,1,4,4,1,1,3,6.50,4,5,49.00,7.50,2,,2,1,8093,0,0,2
1,1,518476,39.20,60,,3,3,4,2,2,3,,2,1,,,5,,8.7,3,,2,1,14509,0,0,1
1,1,518476,,66,20,4,1,3,1,3,,3,,2,,1,1,48,75,3,,1,2,330,0,0,2
1,1,518476,38.5,52,70,3,1,4,1,1,1,,2,1,6.50,2,5,39.00,7.50,,,2,2,1679,0,0,2
1,1,518476,38.00,56,16,1,1,2,1,3,,2,,3,,,,57,55,3,5.30,1,1,2356,0,0,2
1,1,5305629,38.50,76,16,2,3,1,,3,4,1,,2,,,1,39,,2,,1,1,6901,0,0,1
2,1,518476,38.20,86,24,1,1,,1,3,4,3,1,1,,,,38,6.20,3,3.00,1,2,4289,0,0,1
1,1,518476,38.00,64,24,4,3,2,2,3,3,3,1,,,4,5,66,89,,,1,2,1983,0,0,2
2,1,518476,,36,40,,3,1,2,3,3,2,1,3,6.20,1,,44.00,74,3,,2,1,7202,0,0,1
2,1,5305629,37.20,70,,3,,1,2,1,,3,2,,,1,4,,81,1,1.00,2,1,8203,0,0,1
1,1,518476,38.4,40,36,1,3,3,1,2,4,3,3,1,,4,,32.00,6.10,3,1,1,1,2935,0,0,2
1,1,518476,38.2,54,16,3,1,3,1,4,4,1,2,1,,,5,43.00,55,3,3.30,1,1,4793,0,2209,1
1,1,518476,37.70,40,28,3,1,4,1,,3,4,,1,,4,3,52,69,,,3,2,7679,0,0,2
2,1,518476,36.90,60,12,,3,1,1,,2,3,,,,4,,70.00,51,,,1,2,757,0,0,2
1,1,518476,,60,48,3,4,5,1,,4,1,2,,,4,5,,7.00,2,,2,1,11390,0,0,2
2,1,518476,,164,30,4,,4,1,2,2,2,1,,,,,48.00,7.70,2,,1,2,4516,0,0,1
1,9,5305629,37.8,64,16,1,1,1,1,,,3,1,,,4,,52.00,6.80,,,1,1,5288,0,0,1
1,1,518476,37.10,50,9,3,3,1,2,2,4,2,3,3,,4,2,47.00,8.10,1,,2,2,3952,0,0,2
1,1,518476,38.4,96,,3,,1,1,4,,1,,,,3,5,47.00,64,1,,2,1,2675,0,0,2
2,1,518476,38.2,104,16,3,1,2,1,3,4,1,1,1,6.50,1,5,37.00,7.70,2,2.30,1,2,1139,0,0,1
1,1,5305629,38.50,164,36,,1,4,2,2,1,1,2,,2,,4,52.00,6.50,,,3,1,2709,0,0,2
1,1,518476,38.0,84,,3,3,1,1,2,,2,2,1,,3,5,,6.50,,,1,1,4016,3111,0,2
2,1,518476,,88,,3,1,1,1,3,2,,,2,,,,47.00,57,,,1,2,335,0,0,1
1,1,518476,,72,24,3,1,6,2,4,3,4,1,,,1,5,60.00,6.00,,2,1,2,8733,0,0,2
1,1,518476,38.8,,14,,4,6,1,3,3,3,,,,1,5,35.00,60,1,3.30,1,1,5391,0,0,2
1,1,518476,36.40,104,28,,,2,2,3,4,2,,1,7.00,4,3,34,7.30,3,7.40,1,1,2404,0,0,2
1,1,518476,38.70,68,36,1,3,5,2,3,1,3,,1,,1,2,42.00,7.60,,1,2,1,9517,0,0,1
1,1,518476,38.7,44,30,3,,3,1,3,3,1,2,2,,4,,48,5.70,2,,1,1,4441,0,0,2
1,1,518476,,120,,3,,3,1,2,1,3,2,1,,4,,43,6.40,2,,1,1,8853,3111,0,2
2,1,518476,38.3,54,,,1,3,1,4,,3,2,,,,,43,5.30,,,1,2,739,0,0,1
,1,518476,40.00,44,18,3,1,5,2,2,4,4,,,,,4,23.00,6.90,1,7.00,3,1,1168,0,0,1
1,1,518476,38.4,114,40,1,3,6,1,1,4,,,2,2,4,1,65,,,,1,1,1190,0,0,2
1,9,518476,38.3,,28,1,,2,1,1,,2,1,3,,3,2,52.00,6.70,,,1,1,4427,0,0,2
1,1,518476,37.60,88,12,3,3,5,2,5,3,4,2,1,,1,,36.00,8.60,,4.80,1,2,5686,0,0,1
1,1,5305629,38.60,120,22,3,3,1,2,,4,3,3,1,4.00,,,55.00,6.50,1,2.60,2,2,10577,0,0,1
2,1,518476,,36,18,,1,5,1,,,1,1,1,,,5,48,53,,,1,2,2318,0,0,2
1,1,518476,,,20,1,1,1,2,3,,2,,,,1,,60.00,6.70,,,1,1,7280,0,0,2
1,1,518476,39.4,44,28,3,1,2,2,1,,3,2,,,4,5,73.00,81,1,3.90,2,1,4320,0,0,1
2,1,518476,37.3,130,20,3,3,5,1,3,3,,1,3,6.50,,5,54.00,62,,,2,2,1885,0,0,2
1,1,518476,37.80,56,20,4,1,1,,,,3,,1,,,4,,62,,,1,1,4030,0,0,2
1,1,518476,38.50,80,30,4,3,1,1,5,4,1,,1,6.50,4,4,40.00,8.40,,,1,1,10103,0,0,1
2,1,518476,38,88,21,1,,,2,1,3,1,1,1,,,,55,7.00,,,3,2,3594,0,0,2
2,1,518476,38.80,120,20,,4,2,2,,,1,2,1,,4,3,40.00,7.20,3,,3,1,2140,0,0,2
2,1,518476,38.60,100,12,3,1,4,1,3,4,2,,2,,1,,49,65,,1,3,2,2648,0,0,2
1,1,518476,38.20,78,,3,1,1,1,,3,3,2,1,,4,5,57,64,,,1,1,4632,0,0,2
1,1,518476,37.50,104,28,1,1,6,1,,3,4,1,1,,3,4,45.00,8.50,3,5.00,1,2,364,0,0,2
2,1,518476,37.80,136,16,3,,2,1,3,3,1,,,,3,1,49.00,64,,,1,1,7542,0,0,1
1,1,518476,37.1,60,,1,1,1,1,,,,2,,,3,,43,4.50,3,2.60,1,2,333,0,0,2
2,1,518476,37.60,72,36,2,1,5,1,1,1,2,2,1,,3,,37.00,69,,,1,1,917,0,0,2
1,1,518476,38.30,100,32,4,,,1,2,,3,,2,,,3,55.00,8.20,1,,1,2,1182,0,0,2
1,9,518476,,48,,1,1,2,1,,,,,1,,1,3,60.00,7.00,1,3.00,1,1,8145,0,0,2
1,1,518476,40.30,48,9,3,,2,1,2,,2,1,1,4.40,1,,33,8.50,,,1,1,1010,0,0,1
1,1,518476,37.60,40,20,3,1,,1,2,,3,,1,,1,2,32.00,69,,,1,2,449,0,0,2
2,1,518476,38.60,64,,,,1,1,5,3,3,,1,,4,4,69.00,7.90,1,3.60,1,1,6594,0,0,1
1,1,518476,38.10,48,24,1,1,,1,1,,4,1,,,4,,48,6.20,,,1,2,8445,0,0,2
2,9,518476,,60,16,3,1,1,2,,3,3,2,,,,,40.00,7.50,1,2.60,3,1,3373,0,0,1
2,9,5305629,38.4,130,,4,,4,1,2,1,,,,,1,4,39,89,3,,1,2,956,0,0,2
1,1,518476,37.80,75,12,2,1,4,1,3,4,1,2,3,6.20,4,,50.00,7.80,,,1,1,7520,0,0,2
2,1,518476,37.7,56,80,2,1,,1,3,3,2,,,,,1,44.00,66,,,1,1,2762,0,0,2
1,1,5305629,38.00,60,,1,1,4,1,3,4,,1,1,,,,60.00,66,,,2,1,16193,0,0,1
1,1,518476,,100,28,2,3,,2,5,4,3,2,3,4.30,1,,,,3,,2,1,15760,0,0,1
2,1,518476,38.2,60,90,1,,,1,3,3,1,,,,,5,34,64,,,1,2,5795,0,0,2
1,1,518476,,30,9,1,3,,2,3,4,,1,2,,4,5,38,10.2,,,2,1,11501,0,0,2
2,1,518476,35.4,72,48,4,2,1,2,2,1,2,1,3,5.50,,5,71.00,4.60,3,2,1,2,685,0,0,2
2,1,518476,,130,30,1,3,3,2,5,3,1,,,,1,4,38.00,6.50,,,2,2,5966,0,0,2
1,1,518476,,104,20,,3,5,1,2,,3,2,1,5.70,3,5,45,6.50,1,,2,1,2793,0,0,2
1,1,518476,38.00,44,42,,1,4,1,3,3,,1,1,4.00,4,2,33,6.50,,1,3,2,6473,0,0,2
1,1,5305629,38.5,70,16,3,1,6,1,,1,4,,1,,1,,68.00,59,3,,1,1,1696,0,0,2
2,1,518476,38.10,100,16,,3,1,2,1,3,1,2,1,,2,5,50,5.70,,,3,1,5302,0,0,1
1,1,518476,,96,16,3,,3,1,2,4,3,,1,,1,1,50.00,6.50,,1.00,1,2,3410,0,0,2
2,1,518476,38.0,80,20,3,3,1,1,3,,3,2,1,7.00,2,,50.00,57,,,3,1,4418,0,0,2
1,1,518476,,48,,,1,4,2,2,3,4,2,1,,,,24.00,6.00,,,2,2,6743,0,0,2
1,1,518476,38.60,84,30,1,1,4,1,2,4,2,3,1,2,3,4,60.00,6.60,1,,1,2,3472,0,0,2
2,1,518476,38.2,56,,3,1,4,2,5,4,1,3,3,,3,,41.00,6.80,2,3.60,2,1,1147,0,0,1
2,1,518476,37.80,112,28,1,4,1,1,3,1,4,1,,,,,49.00,8.00,,7.00,3,2,783,0,0,2
2,9,5305629,,146,9,3,,5,2,5,,4,,,,2,4,37,8.50,3,3.90,1,1,5686,0,0,1
2,1,518476,,60,36,1,,1,1,2,1,,1,2,,1,4,43.00,6.10,1,2,1,2,1531,0,0,1
1,1,518476,,96,,1,3,1,2,1,3,2,2,1,,4,5,54.00,6.00,,,1,2,749,0,0,1
1,9,518476,37.80,40,40,1,3,5,1,4,,,,,,4,,64.00,7.80,,,1,1,15913,0,0,1
